Track_id,Artist,Title,Album,Genre,Style,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Time,Key,Camelot,Spotify_key,Spotify_mode,spotify_id,Cluster
12631866_A1,Tricky,Overcome,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",45,0.814,0.599,-13.007,0.232,0.43,0.736,0.0904,0.752,82.278,4.0,4:30,D Major,10B,2.0,1.0,0tYEsmdrsv5Fi3UOn58bou,2.0
12631866_A2,Tricky,Ponderosa,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",35,0.726,0.745,-9.931,0.179,0.31,1.5e-05,0.161,0.663,180.532,4.0,3:30,D#/E♭ Major,5B,3.0,1.0,3USAAb0W0n99SOensmme2D,4.0
12631866_A3,Tricky,Black Steel,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",38,0.443,0.813,-9.066,0.0819,0.00673,0.0177,0.0983,0.735,169.969,4.0,5:39,A Major,11B,9.0,1.0,52QqxUwMHSmeDZlZBABefY,4.0
12631866_A4,Tricky,Hell Is Round The Corner,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",51,0.574,0.539,-12.273,0.177,0.336,0.00515,0.196,0.507,119.94,4.0,3:47,C Major,8B,0.0,1.0,2wC0qK8JN6gblb0ZJzE2d9,2.0
12631866_A5,Tricky,Pumpkin,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",28,0.598,0.278,-14.244,0.0302,0.15,0.475,0.13,0.165,153.431,3.0,4:30,C♯/D♭ Major,3B,1.0,1.0,1MiVlLMCKrMV0uikVZK2Za,7.0
12631866_A6,Tricky,Aftermath,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",46,0.73,0.436,-14.19,0.0637,0.0363,0.296,0.138,0.501,80.84,4.0,7:38,A#/B♭ Minor,3A,10.0,0.0,4wcWI3GEtaGm38dbdDFbyI,2.0
12631866_B1,Tricky,Abbaon Fat Tracks,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",25,0.636,0.483,-14.792,0.162,0.152,0.0388,0.138,0.605,71.097,4.0,4:26,G#/A♭ Major,4B,8.0,1.0,4EGO2fsS5KL1Ump7b66MNv,2.0
12631866_B3,Tricky,Suffocated Love,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",27,0.677,0.61,-10.555,0.209,0.102,2.44e-05,0.0699,0.962,80.257,4.0,4:53,E Minor,9A,4.0,0.0,5XHV3c5quXJnRTeHcUhVxC,2.0
12631866_B6,Tricky,Feed Me,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",23,0.583,0.494,-14.932,0.097,0.00199,2.1e-05,0.0889,0.628,171.894,4.0,4:03,G Minor,6A,7.0,0.0,57EBP45a1DoRE4Tq7hXG4f,7.0
14724778_A2,Casey,Pas À Vendre,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",15,0.672,0.678,-4.892,0.308,0.0433,0.0,0.37,0.599,86.95,4.0,4:23,E Minor,9A,4.0,0.0,3OcVu2baoczycMot2muy45,3.0
14724778_A3,Casey,Qui Sont-Ils ?,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",7,0.537,0.711,-6.341,0.297,0.00969,0.000536,0.098,0.429,92.849,4.0,4:14,B Minor,10A,11.0,0.0,3IxJ7IwYnY6l1Vlvh1cwlw,6.0
14724778_B1,Casey,Chez Moi,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",21,0.657,0.67,-4.682,0.423,0.0752,0.0,0.0929,0.558,171.86,4.0,4:57,A Minor,8A,9.0,0.0,71vYhXCmFlerZimSYCW7G4,4.0
14724778_B2,Casey,Une Lame Dans Ma Veste,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",7,0.712,0.844,-3.66,0.218,0.000534,5.28e-06,0.302,0.527,185.954,4.0,3:46,C♯/D♭ Major,3B,1.0,1.0,1WwzchbpGhLG73z2mym9SS,4.0
14724778_B3,Casey,Suis Ma Plume,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",8,0.673,0.742,-3.623,0.3,0.0423,3.41e-06,0.162,0.524,92.936,4.0,3:25,A#/B♭ Minor,3A,10.0,0.0,45lw8WAwl5TtxnN6xSzB1k,3.0
14724778_C1,Casey,Mourir Con,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",4,0.618,0.65,-6.454,0.204,0.0624,2.1e-05,0.275,0.484,84.316,4.0,4:39,A#/B♭ Minor,3A,10.0,0.0,1GAoJTG918F1Gj18RucNJ2,6.0
14724778_C2,Casey,Ma Haine,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",5,0.456,0.731,-5.285,0.219,0.00451,0.0,0.206,0.271,110.877,5.0,5:35,G#/A♭ Major,4B,8.0,1.0,79NvWA4BekKdrH8J12ulTM,6.0
14724778_C3,Casey,Banlieue Nord,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",5,0.58,0.784,-5.176,0.285,0.00452,0.0,0.0826,0.433,171.963,4.0,4:28,C♯/D♭ Major,3B,1.0,1.0,0bUq3A8DRoFU7iDnW8CjKj,4.0
14724778_D1,Casey,On Ne Présente Plus La Famille,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",4,0.692,0.578,-6.103,0.313,0.0286,0.0,0.0992,0.671,82.951,4.0,4:53,G Major,9B,7.0,1.0,1NAsKnCd7fh26G2J2hTT5n,3.0
14724778_D2,Casey,Je Lutte,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",5,0.599,0.894,-4.237,0.333,0.18,0.0,0.0885,0.557,96.808,4.0,4:44,A#/B♭ Minor,3A,10.0,0.0,6mAADVPf7GvOr2xZOeemtP,6.0
14724778_D3,Casey,Quand Les Banlieusards Sortent,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",4,0.483,0.616,-7.876,0.278,0.000941,0.0,0.104,0.442,79.24,4.0,4:41,B Minor,10A,11.0,0.0,4734LFv7wsolS3KEg8hghg,6.0
14883419_A1,Ausgang,Gangrene,Gangrene,"Hip Hop, Rock",,5,0.741,0.729,-8.036,0.381,0.0325,2.63e-06,0.103,0.602,178.072,4.0,3:29,A Major,11B,9.0,1.0,2sKdSE0stEcEBRhnjLyLoF,4.0
