album_id,artist,album,track_id,title
18669670,Eminem,Music To Be Murdered By (Side B),18669670_A6,In Too Deep
18669670,Eminem,Music To Be Murdered By (Side B),18669670_B7,Godzilla
18669670,Eminem,Music To Be Murdered By (Side B),18669670_B8,Darkness
18669670,Eminem,Music To Be Murdered By (Side B),18669670_B9,Leaving Heaven
18669670,Eminem,Music To Be Murdered By (Side B),18669670_B10,Yah Yah
18669670,Eminem,Music To Be Murdered By (Side B),18669670_C11,Stepdad (Intro)
18669670,Eminem,Music To Be Murdered By (Side B),18669670_C12,Stepdad
18669670,Eminem,Music To Be Murdered By (Side B),18669670_C13,Marsh
18669670,Eminem,Music To Be Murdered By (Side B),18669670_C14,Never Love Again
18669670,Eminem,Music To Be Murdered By (Side B),18669670_C15,Little Engine
18669670,Eminem,Music To Be Murdered By (Side B),18669670_C16,Lock It Up
18669670,Eminem,Music To Be Murdered By (Side B),18669670_D17,Farewell
18669670,Eminem,Music To Be Murdered By (Side B),18669670_D18,No Regrets
18669670,Eminem,Music To Be Murdered By (Side B),18669670_D19,I Will
18669670,Eminem,Music To Be Murdered By (Side B),18669670_D20,Alfred (Outro)
18669670,Eminem,Music To Be Murdered By (Side B),18669670_E1,Alfred (Intro)
18669670,Eminem,Music To Be Murdered By (Side B),18669670_E2,Black Magic
18669670,Eminem,Music To Be Murdered By (Side B),18669670_E4,Tone Deaf
18669670,Eminem,Music To Be Murdered By (Side B),18669670_F5,Book Of Rhymes
18669670,Eminem,Music To Be Murdered By (Side B),18669670_F6,Favorite Bitch
18669670,Eminem,Music To Be Murdered By (Side B),18669670_F7,Guns Blazing
18669670,Eminem,Music To Be Murdered By (Side B),18669670_F8,Gnat
18669670,Eminem,Music To Be Murdered By (Side B),18669670_G9,Higher
18669670,Eminem,Music To Be Murdered By (Side B),18669670_G10,These Demons
18669670,Eminem,Music To Be Murdered By (Side B),18669670_G11,Key (Skit)
18669670,Eminem,Music To Be Murdered By (Side B),18669670_G12,She Loves Me
18669670,Eminem,Music To Be Murdered By (Side B),18669670_H13,Killer
18669670,Eminem,Music To Be Murdered By (Side B),18669670_H14,Zeus
18669670,Eminem,Music To Be Murdered By (Side B),18669670_H15,Thus Far (Interlude)
18669670,Eminem,Music To Be Murdered By (Side B),18669670_H16,Discombobulated
5199109,Eminem,The Marshall Mathers LP 2,5199109_A1,Bad Guy
5199109,Eminem,The Marshall Mathers LP 2,5199109_A2,Parking Lot (Skit)
5199109,Eminem,The Marshall Mathers LP 2,5199109_A3,Rhyme Or Reason
5199109,Eminem,The Marshall Mathers LP 2,5199109_A4,So Much Better
5199109,Eminem,The Marshall Mathers LP 2,5199109_B1,Survival
5199109,Eminem,The Marshall Mathers LP 2,5199109_B2,Legacy
5199109,Eminem,The Marshall Mathers LP 2,5199109_B3,Asshole
5199109,Eminem,The Marshall Mathers LP 2,5199109_B4,Berzerk
5199109,Eminem,The Marshall Mathers LP 2,5199109_C1,Rap God
5199109,Eminem,The Marshall Mathers LP 2,5199109_C2,Brainless
5199109,Eminem,The Marshall Mathers LP 2,5199109_C3,Stronger Than I Was
5199109,Eminem,The Marshall Mathers LP 2,5199109_C4,The Monster
5199109,Eminem,The Marshall Mathers LP 2,5199109_D1,So Far...
5199109,Eminem,The Marshall Mathers LP 2,5199109_D2,Love Game
5199109,Eminem,The Marshall Mathers LP 2,5199109_D3,Headlights
5199109,Eminem,The Marshall Mathers LP 2,5199109_D4,Evil Twin
403224,Eminem,The Eminem Show,403224_A1,Curtains Up (Skit)
403224,Eminem,The Eminem Show,403224_A2,White America
403224,Eminem,The Eminem Show,403224_A3,Business
403224,Eminem,The Eminem Show,403224_A4,Cleaning Out My Closet
403224,Eminem,The Eminem Show,403224_A5,Square Dance
