,album_id,artist,album,track_id,title,spotify_id
905,7052101,Various,9½ Weeks - Original Motion Picture Soundtrack,7052101_A1,I Do What I Do... (Theme For 9½ Weeks),
906,7052101,Various,9½ Weeks - Original Motion Picture Soundtrack,7052101_A2,The Best Is Yet To Come,
908,7052101,Various,9½ Weeks - Original Motion Picture Soundtrack,7052101_A4,Black On Black,
909,7052101,Various,9½ Weeks - Original Motion Picture Soundtrack,7052101_A5,Eurasian Eyes,
911,7052101,Various,9½ Weeks - Original Motion Picture Soundtrack,7052101_B2,Bread And Butter,
912,7052101,Various,9½ Weeks - Original Motion Picture Soundtrack,7052101_B3,This City Never Sleeps,
913,7052101,Various,9½ Weeks - Original Motion Picture Soundtrack,7052101_B4,Cannes,
914,7052101,Various,9½ Weeks - Original Motion Picture Soundtrack,7052101_B5,Let It Go,
936,1107303,Giorgio Moroder,Midnight Express (Music From The Original Motion Picture Soundtrack),1107303_B1,Istanbul Blues (Vocal),
940,1107303,Giorgio Moroder,Midnight Express (Music From The Original Motion Picture Soundtrack),1107303_B5,(Theme From) Midnight Express (Vocal),
942,632014,Donna Summer,Love To Love You Baby,632014_B1,Virgin Mary,
953,2908188,Bob Dylan,Slow Train Coming,2908188_B4,Man Give Names To All The Animals,
961,742587,Bob Dylan,Greatest Hits,742587_B5,Rainy Day Women Nos. 12 & 35,
1011,8400159,Dee Nasty,Classique,8400159_B3,Rythm Addict Soul,
1012,8400159,Dee Nasty,Classique,8400159_C1,Shaka Zulu Scratch Warriorz,
1020,8400159,Dee Nasty,Classique,8400159_D5,I Go Back To Planet Zektar,
1021,763944,Various,16'30 Contre La Censure,763944_B2,Acapella,
1023,763969,Various,11'30 Contre Les Lois Racistes,763969_B2,A Capella,
1029,7856239,Zoufris Maracas,Prison Dorée,7856239_B2,Cogagne,
1068,1523897,Genesis,Nursery Cryme,1523897_B1,Seven Stones,
1069,1523897,Genesis,Nursery Cryme,1523897_B2,Harold The Barrel,
1073,1091333,Genesis,Trespass,1091333_A2,White Mountain,
1074,1091333,Genesis,Trespass,1091333_A3,Visions Of Angels,
1075,1091333,Genesis,Trespass,1091333_B1,Stagnation,
1076,1091333,Genesis,Trespass,1091333_B2,Dusk,
1079,3791256,Genesis,Foxtrot,3791256_A2,Time Table,
1080,3791256,Genesis,Foxtrot,3791256_A4,Can-utility And The Coastliners,
1081,3791256,Genesis,Foxtrot,3791256_B1,Horizons,
1082,3075342,Genesis,...And Then There Were Three…,3075342_A1,Down And Out,
1083,3075342,Genesis,...And Then There Were Three…,3075342_A2,Undertow,
1084,3075342,Genesis,...And Then There Were Three…,3075342_A3,Ballad Of Big,
1091,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_A1,I Need Your Loving,
1092,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_A2,Question,
1094,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_A6,A Fool In Love,
1095,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_A7,Iko Iko,
1098,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_B2,Do-Re-Mi,
1099,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_B3,Land Of 1000 Dances,
1100,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_B4,Who Can I Run To,
1101,12225195,Various,The Scene Club - Ham Yard London 1963-66,12225195_B5,Mister Bang Bang Man,
