,album_id,artist,album,track_id,title,spotify_id
101,2955328,Dr. Dre,2001,2955328_A2,The Watcher,1iQ5E4z6CJ38dIzvMI9Wdo
102,2955328,Dr. Dre,2001,2955328_A3,Fuck You,4FI0rdztOAYJZMupujL5Gp
103,2955328,Dr. Dre,2001,2955328_A4,Still D.R.E.,503OTo2dSqe7qk76rgsbep
104,2955328,Dr. Dre,2001,2955328_B1,Xxplosive,0Ed7MeXx64f6OcIuoTRCg1
105,2955328,Dr. Dre,2001,2955328_B3,Bar One,0WWem437MQdylQuXxzE80H
106,2955328,Dr. Dre,2001,2955328_B4,Light Speed,1WvuZsXHaH2qNAtvrQY6SX
107,2955328,Dr. Dre,2001,2955328_B5,Forgot About Dre,7iXF2W9vKmDoGAhlHdpyIa
108,2955328,Dr. Dre,2001,2955328_B6,The Next Episode,4LwU4Vp6od3Sb08CsP99GC
109,2955328,Dr. Dre,2001,2955328_C2,Bitch Niggaz,5XkeTGKcCkGF8l6fA9YpsS
110,2955328,Dr. Dre,2001,2955328_C3,The Car Bomb,4PX9Ga99IMqlbgKucTxupc
111,2955328,Dr. Dre,2001,2955328_C4,Murder Ink.,0zkE78jc1kjLXrTYd9ZxpO
112,2955328,Dr. Dre,2001,2955328_C5,Ed-Ucation,0J2u6TAolef5gZEVy1HErU
113,2955328,Dr. Dre,2001,2955328_C6,Some L.A. Niggaz,4VZPYvMTByQytb6F3MKP4w
114,2955328,Dr. Dre,2001,2955328_C7,Pause 4 Porno,6ALtdfVnklY8xp9bUBKVEP
115,2955328,Dr. Dre,2001,2955328_D1,Housewife,0Wik64zBKFTNoNjTpG70OH
116,2955328,Dr. Dre,2001,2955328_D2,Ackrite,4NGS3j6JmOx6VUaXt6VQbj
117,2955328,Dr. Dre,2001,2955328_D3,Bang Bang,2sXaZphe2LlqAyZVKvHbU1
118,2955328,Dr. Dre,2001,2955328_D4,The Message,6WgxXdBZrtdQFGBcxQxpiv
119,5215304,Eminem,The Slim Shady LP,5215304_A1,Public Service Announcement,59z8uxWZVFpL2LfZ5C9AzY
120,5215304,Eminem,The Slim Shady LP,5215304_A2,My Name Is,75IN3CtuZwTHTnZvYM4qnJ
121,5215304,Eminem,The Slim Shady LP,5215304_A3,Guilty Conscience,6da04YB906XonC6IQNC44u
122,5215304,Eminem,The Slim Shady LP,5215304_A4,Brain Damage,099MPsZhn5HkEUNlpA89rK
123,5215304,Eminem,The Slim Shady LP,5215304_A5,Paul,4QB28IqGl9W8sDcIK7eBIW
124,5215304,Eminem,The Slim Shady LP,5215304_B6,If I Had,4Q7UkPYq3NGTwhAMjfeE4a
125,5215304,Eminem,The Slim Shady LP,5215304_B8,Bitch,3mqYXWPAteuKuhZmsuQWqV
126,5215304,Eminem,The Slim Shady LP,5215304_B9,Role Model,0EtirusGt3LivUmALXSMVe
127,5215304,Eminem,The Slim Shady LP,5215304_B10,Lounge,1LoEersiNbdCJv96e8KjNk
128,5215304,Eminem,The Slim Shady LP,5215304_B11,My Fault,3CNbDbMHxYHxEgrPGf89yc
129,5215304,Eminem,The Slim Shady LP,5215304_C12,Ken Kaniff,5mrfZZYJUPTNKnEarPafRJ
